INDICATOR,REF_DATE,GEO,VALUE,STATUS
financial_security.low_income_rate_65plus,2019,Canada,15.7,
financial_security.low_income_rate_65plus,2020,Canada,14.4,
financial_security.low_income_rate_65plus,2021,Canada,17.1,
financial_security.low_income_rate_65plus,2022,Canada,15.8,
financial_security.low_income_rate_65plus,2023,Canada,14.2,
financial_security.low_income_rate_65plus,2024,Canada,14.4,
financial_security.low_income_rate_65plus,2019,Nova Scotia,20.2,
financial_security.low_income_rate_65plus,2020,Nova Scotia,20.1,
financial_security.low_income_rate_65plus,2021,Nova Scotia,22.4,
financial_security.low_income_rate_65plus,2022,Nova Scotia,25.0,
financial_security.low_income_gap_65plus,2019,Canada,27.4,
financial_security.low_income_gap_65plus,2020,Canada,26.8,
financial_security.low_income_gap_65plus,2021,Canada,28.1,
financial_security.low_income_gap_65plus,2022,Canada,27.0,
financial_security.low_income_gap_65plus,2019,Nova Scotia,29.6,
financial_security.low_income_gap_65plus,2020,Nova Scotia,29.1,
financial_security.low_income_gap_65plus,2021,Nova Scotia,30.8,
financial_security.low_income_gap_65plus,2022,Nova Scotia,31.5,
